,log_gross,votecount_clean
869,17.10987192855302,26592.0
870,17.108035872756425,20213.0
871,17.099906147393217,13870.0
872,17.095310743252217,17813.0
873,17.092345544876878,6758.0
875,17.08603934053342,4112.0
877,17.062081429943433,36851.0
879,17.053387041579,7949.0
880,17.053143444107114,41939.0
883,17.047768205516004,28270.0
884,17.035568443922905,6780.0
886,17.021112513538927,6406.0
887,17.01019577521652,16865.0
888,17.007316230132204,12776.0
889,16.999678119645647,13575.0
890,16.99787151597302,5922.0
892,16.99390337251725,60288.0
893,16.992743384714313,10290.0
894,16.990227493733656,6597.0
895,16.97517619023924,21316.0
897,16.972910133484234,8450.0
899,16.95726768606935,11708.0
901,16.954757722762732,24065.0
902,16.95241964206045,6829.0
904,16.949050561315428,16800.0
905,16.945171357774786,3375.0
906,16.944570509644397,5791.0
907,16.929829855000914,15436.0
908,16.92523919566385,15642.0
911,16.89951553353626,53885.0
912,16.89793356127273,11525.0
913,16.88782083634239,5071.0
914,16.886714477018124,32963.0
915,16.881618766132323,4713.0
916,16.880637915440282,11204.0
917,16.87856301150313,15946.0
918,16.87824757465379,17162.0
919,16.87368659768781,19187.0
921,16.86961074417509,2463.0
922,16.860335854583216,5334.0
925,16.85599939545853,34198.0
927,16.839777274331333,29314.0
928,16.831998240068316,2132.0
929,16.823177726474214,1708.0
930,16.821613668005952,10029.0
931,16.813620203329126,4278.0
932,16.81151454460092,5495.0
935,16.80569240636795,11743.0
937,16.798457546978607,7567.0
939,16.797450655218608,17516.0
940,16.784801623525645,14075.0
942,16.781933426674605,
943,16.775000438762362,29423.0
945,16.768439657006336,16355.0
946,16.766833472593838,2782.0
948,16.756642073498124,18858.0
950,20.2137529977682,672640.0
951,19.81224089145169,282372.0
952,19.68025061568437,284807.0
954,19.592295458645122,180578.0
955,19.581473127982015,455739.0
956,19.578857016865573,567523.0
957,19.5747312683576,288989.0
958,19.559901663580344,423253.0
959,19.367423157002907,454886.0
960,19.318559311468544,188366.0
961,19.29087219338529,117281.0
962,19.274076309774333,110156.0
963,19.272029050197176,293355.0
964,19.24826554826034,342728.0
966,19.198082814630332,385219.0
968,19.188167899394177,250567.0
969,19.18805323156774,203271.0
972,19.125557419239133,381355.0
973,19.105551398366156,1563.0
977,19.023967257603264,142931.0
978,19.01417676828868,433875.0
979,19.0139073411115,253841.0
980,19.008528240337547,118689.0
982,18.99042635441071,191088.0
984,18.979173078192805,68650.0
985,18.922964366483324,143581.0
986,18.89888208619265,9955.0
987,18.89055230197708,143550.0
988,18.880308018297075,78743.0
989,18.878861381259178,112715.0
990,18.8694970805702,48074.0
991,18.859060441293416,113208.0
992,18.850285700522843,74795.0
993,18.841083783535122,65711.0
994,18.827488270613415,158592.0
995,18.821203686319993,99960.0
996,18.8155287091376,145380.0
997,18.76046651332684,124286.0
998,18.713572728711355,215564.0
1000,18.696585133484714,106382.0
1001,18.691990035952806,14.0
1003,18.66872996613403,103901.0
1004,18.667641863654,625965.0
1005,18.66370006498582,396969.0
1006,18.659730549393302,259401.0
1007,18.656790090874086,92194.0
1008,18.648757713919963,553202.0
1009,18.645170332951253,105152.0
1010,18.63157037775382,158090.0
1011,18.623809815131168,128360.0
1012,18.62106908410146,61916.0
1013,18.619635228475737,129378.0
